Word: i am going to the store, GIF Found: True, Feedback: Good
Word: i am going to the store, GIF Found: True, Feedback: Bad
Word: hello, GIF Found: True, Feedback: Good
Word: hello, GIF Found: True, Feedback: Bad
Word: hello, GIF Found: True, Feedback: Bad
Word: hello, GIF Found: True, Feedback: Good
Word: hello, GIF Found: True, Feedback: Good
Word: good morning, GIF Found: True, Feedback: Good
Word: good morning, GIF Found: True, Feedback: Bad
Word: hello, GIF Found: True, Feedback: Good
Word: hello, GIF Found: True, Feedback: Bad
Word: hello, Predicted: hello, Score: 100, Feedback: Good
Word: good morning, Predicted: good morning, Score: 100, Feedback: Good
Word: good afternoon, Predicted: good afternoon, Score: 100, Feedback: Good
Word: hello everyone, Predicted: hello, Score: 90, Feedback: Good
Word: i am happy to help with that, GIF Found: True, Score: 90, Feedback: Good
Word: can i help you, GIF Found: True, Score: 86, Feedback: Bad
Word: i will keep you updated on the progress, GIF Found: True, Score: 86, Feedback: Bad
Word: good morning, GIF Found: True, Score: 100, Feedback: Good
Word: good morning, GIF Found: True, Score: 100, Feedback: Good
Word: good morning, GIF Found: True, Score: 100, Feedback: Good
Word: good morning, GIF Found: True, Score: 100, Feedback: Good
Word: good morning, GIF Found: True, Score: 100, Feedback: Good
Word: good morning, GIF Found: True, Score: 100, Feedback: Good
Word: good morning, GIF Found: True, Score: 100, Feedback: Good
Word: good morning, GIF Found: True, Score: 100, Feedback: Good
Word: good morning, GIF Found: True, Score: 100, Feedback: Good
Word: good morning, GIF Found: True, Score: 100, Feedback: Good
Word: good morning, GIF Found: True, Score: 100, Feedback: Good
Word: are you free this weekend, GIF Found: True, Score: 86, Feedback: Good
Word: i am thinking, GIF Found: True, Score: 100, Feedback: Good
Word: i am thinking, GIF Found: True, Score: 100, Feedback: Good
Word: i am thinking, GIF Found: True, Score: 100, Feedback: Good
Word: i am thinking, GIF Found: True, Score: 100, Feedback: Good
Word: i am thinking, GIF Found: True, Score: 100, Feedback: Good
Word: i am thinking, GIF Found: True, Score: 100, Feedback: Good
Word: i am thinking, GIF Found: True, Score: 100, Feedback: Good
Word: i am thinking, GIF Found: True, Score: 100, Feedback: Good
Word: i am thinking, GIF Found: True, Score: 100, Feedback: Good
Word: i dont understand could you please explain, GIF Found: True, Score: 95, Feedback: Good
Word: i dont understand could you please explain, GIF Found: True, Score: 95, Feedback: Good
Word: i dont understand could you please explain, GIF Found: True, Score: 95, Feedback: Good
Word: i dont understand could you please explain, GIF Found: True, Score: 95, Feedback: Good
Word: i dont understand could you please explain, GIF Found: True, Score: 95, Feedback: Good
Word: i dont understand could you please explain, GIF Found: True, Score: 95, Feedback: Good
Word: i dont understand could you please explain, GIF Found: True, Score: 95, Feedback: Good
Word: i dont understand could you please explain, GIF Found: True, Score: 95, Feedback: Good
Word: are you angry, GIF Found: True, Score: 86, Feedback: Bad
Word: are you angry, GIF Found: True, Score: 86, Feedback: Bad
Word: ahemdabad, GIF Found: True, Score: 89, Feedback: Good
Word: ahemdabad, GIF Found: True, Score: 89, Feedback: Bad
Word: ahemdabad, GIF Found: True, Score: 89, Feedback: Bad
Word: good afternoon, GIF Found: True, Score: 100, Feedback: Good
Word: good afternoon, GIF Found: True, Score: 100, Feedback: Good
Word: good afternoon, GIF Found: True, Score: 100, Feedback: Good
Word: good afternoon, GIF Found: True, Score: 100, Feedback: Good
Word: good afternoon, GIF Found: True, Score: 100, Feedback: Good
Word: i will keep you updated on the progress, GIF Found: True, Score: 99, Feedback: Good
Word: i will keep you updated on the progress, GIF Found: True, Score: 99, Feedback: Good
Word: i will keep you updated on the progress, GIF Found: True, Score: 99, Feedback: Good
Word: i will keep you updated on the progress, GIF Found: True, Score: 99, Feedback: Good
Word: i will keep you updated on the progress, GIF Found: True, Score: 99, Feedback: Good
Word: cat, GIF Found: True, Score: 90, Feedback: Good
Word: cat, GIF Found: True, Score: 90, Feedback: Good
Word: what is the problem, GIF Found: True, Score: 100, Feedback: Good
Word: what is the problem, GIF Found: True, Score: 100, Feedback: Good
Word: what is the problem, GIF Found: True, Score: 100, Feedback: Good
Word: what is the problem, GIF Found: True, Score: 100, Feedback: Good
Word: what is the problem, GIF Found: True, Score: 100, Feedback: Good
Word: what is today's date, GIF Found: True, Score: 86, Feedback: Good
Word: what is today's date, GIF Found: True, Score: 86, Feedback: Good
Word: what is today's date, GIF Found: True, Score: 86, Feedback: Good
Word: what is today's date, GIF Found: True, Score: 86, Feedback: Good
Word: what is today's date, GIF Found: True, Score: 86, Feedback: Good
Word: what is today's date, GIF Found: True, Score: 86, Feedback: Good
Word: what is today's date, GIF Found: True, Score: 86, Feedback: Good
Word: what is your name, GIF Found: True, Score: 90, Feedback: Good
Word: what is your name, GIF Found: True, Score: 90, Feedback: Good
Word: what is your name, GIF Found: True, Score: 90, Feedback: Good
Word: what is your name, GIF Found: True, Score: 90, Feedback: Good
Word: what is your mobile number, GIF Found: True, Score: 86, Feedback: Good
Word: what is your mobile number, GIF Found: True, Score: 86, Feedback: Good
Word: what is your mobile number, GIF Found: True, Score: 86, Feedback: Good
Word: what is your mobile number, GIF Found: True, Score: 86, Feedback: Good
Word: what is your mobile number, GIF Found: True, Score: 86, Feedback: Good
Word: what is your mobile number, GIF Found: True, Score: 86, Feedback: Good
Word: what is your mobile number, GIF Found: True, Score: 86, Feedback: Good
Word: what is your mobile number, GIF Found: True, Score: 86, Feedback: Good
Word: what is your mobile number, GIF Found: True, Score: 86, Feedback: Good
Word: sign language interpreter, GIF Found: True, Score: 90, Feedback: Good
Word: sign language interpreter, GIF Found: True, Score: 90, Feedback: Good
Word: sign language interpreter, GIF Found: True, Score: 90, Feedback: Good
Word: sign language interpreter, GIF Found: True, Score: 90, Feedback: Good
Word: sign language interpreter, GIF Found: True, Score: 90, Feedback: Good
Word: sign language interpreter, GIF Found: True, Score: 90, Feedback: Good
